,word,count
0,NUMMER,23003
1,URL,4037
2,App,3889
3,Spiel,3178
4,Videos,2420
5,Kanal,2269
6,fritz,1963
7,einfach,1748
8,EMAIL,1656
9,Spiele,1341
10,Welt,1330
11,spielen,1041
12,finden,998
13,de,962
14,kostenlos,924
15,Mail,882
16,Impressum,877
17,Abonnement,847
18,deinen,790
19,Video,771
20,TV,758
21,bietet,754
22,Facebook,741
23,Musik,726
24,Spielen,683
25,Puzzle,667
26,Funktionen,659
27,beste,647
28,Stunden,643
29,YouTube,637
30,iTunes,631
31,Leben,631
32,www,619
33,Instagram,609
34,aktuellen,608
35,Deutschland,606
36,Willkommen,603
37,Nachrichten,601
38,Freunde,599
39,findest,588
40,Spieler,583
41,Fragen,579
42,Karten,576
43,Online,572
44,Informationen,569
45,automatisch,565
46,Freunden,557
47,Fotos,557
48,schnell,554
49,News,553
50,GmbH,549
51,kostenlose,546
52,com,540
53,Themen,538
54,gerne,537
55,Deutsch,532
56,iPhone,526
57,Tipps,521
58,Bilder,507
59,unseren,502
60,Kinder,498
61,lernen,498
62,kostenlosen,495
63,verschiedene,480
64,Konto,480
65,Abo,479
66,Solitaire,471
67,findet,469
68,sehen,465
69,helfen,461
70,Level,459
71,verschiedenen,452
72,automatische,442
73,Modus,439
74,Anwendung,436
75,erhalten,420
76,Live,417
77,Auto,408
78,Abonnements,403
79,jederzeit,396
80,direkt,391
81,Kauf,388
82,Levels,380
83,Menschen,378
84,unserem,377
85,Berlin,375
86,online,367
87,teilen,366
88,Ziel,365
89,bitte,365
90,iPad,361
91,Sudoku,360
92,mal,357
93,Hallo,352
94,Twitter,348
95,vieles,346
96,freuen,342
97,Familie,341
98,Android,341
99,Telefon,340
100,Millionen,337
101,Stadt,337
102,genau,333
103,Thema,327
104,Foto,326
105,Premium,325
106,lassen,322
107,Version,320
108,Account,315
109,Weg,315
110,aktuelle,314
111,zeigen,310
112,Apps,309
113,Radio,307
114,Apple,306
115,Liebe,306
116,bereit,303
117,jedes,301
118,lieben,299
119,Abenteuer,297
120,Daten,296
121,neues,296
122,Werbung,295
123,DE,295
124,Sprachen,291
125,Suche,287
126,Ablauf,285
127,Kontakt,282
128,Bubble,281
129,verwenden,281
130,Anfragen,278
131,Art,277
132,Sport,276
133,erstellen,276
134,Punkte,275
135,Woche,275
136,Einfach,275
137,Karte,274
138,Youtube,273
139,Leute,272
140,Bitte,272
141,mindestens,270
142,innerhalb,269
143,Team,268
144,Features,267
145,Einstellungen,266
146,herunter,266
147,subscription,262
148,Community,260
149,Infos,258
150,Store,257
151,Autos,257
152,Songs,255
153,geben,253
154,verbessern,253
155,Englisch,252
156,Hilfe,252
157,Simulator,251
158,belastet,250
159,Blasen,249
160,Pro,249
161,weltweit,248
162,einfache,247
163,Internet,247
164,Seite,246
165,Channel,244
166,Herausforderungen,242
167,Inhalte,242
168,Bild,241
169,Monat,240
170,Geld,239
171,Wetter,238
172,Game,238
173,Puzzles,238
174,pro,236
175,heraus,236
176,Funktion,235
177,Spiels,235
178,frei,235
179,Design,231
180,sogar,230
181,bieten,230
182,Benutzer,229
183,Gehirn,228
184,Farben,227
185,Match,227
186,period,225
187,Handy,225
188,hilft,225
189,tolle,223
190,Kartenspiel,223
191,bringen,222
192,gewinnen,222
193,Kommentare,221
194,Farbe,219
195,Media,219
196,Bildschirm,219
197,Kamera,219
198,Games,218
199,Auswahl,218
200,nutzen,217
201,Zahlen,217
202,Herzlich,215
203,gespielt,215
204,Grafik,215
205,lustige,214
206,suchen,214
207,Sprache,212
208,Zeitraums,212
209,Shooter,211
210,HD,211
211,Feedback,210
212,Links,210
213,neuesten,208
214,etc,206
215,Rezepte,204
216,Reise,203
217,deaktiviert,203
218,Kosten,203
219,Ideen,203
220,Herausforderung,202
221,Tricks,201
222,sicher,200
223,Text,200
224,Programm,199
225,wissen,198
226,zeigt,198
227,erreichen,198
228,sofort,197
229,mehrere,196
230,Hey,196
231,Finde,196
232,Smartphone,195
233,Email,195
234,Music,195
235,Adresse,193
236,Fans,192
237,Nutzer,191
238,willkommen,191
239,Menge,191
240,Egal,189
241,stellen,189
242,iOS,188
243,Hamburg,188
244,Gameplay,188
245,Preise,188
246,Super,187
247,Abos,186
248,bekommen,186
249,spannende,186
250,Block,185
251,Artikel,185
252,Gaming,184
253,freue,184
254,gratis,184
255,klassischen,181
256,Laden,181
257,klassische,180
258,Sammlung,179
259,Zugriff,179
260,verpassen,179
261,Wort,179
262,Unterhaltung,179
263,Gegner,177
264,Mahjong,177
265,sofern,177
266,Wissen,177
267,entwickelt,176
268,Lernen,176
269,TMG,176
270,herunterladen,174
271,Minecraft,174
272,versuchen,174
273,offline,174
274,Amazon,174
275,Google,173
276,Anregungen,171
277,Anzahl,170
278,Ball,170
279,verwalten,170
280,Offline,169
281,Abonnenten,169
282,offizielle,168
283,Preis,168
284,gleichen,168
285,voller,168
286,Tablet,167
287,unterwegs,166
288,Echtzeit,166
289,Eigenschaften,166
290,Free,165
291,stehen,164
292,Geschichte,164
293,echten,163
294,mache,163
295,Ort,162
296,Kontoeinstellungen,162
297,Ergebnisse,162
298,Filme,162
299,lesen,162
300,warten,161
301,deaktivieren,160
302,Puzzlespiel,160
303,alt,160
304,IMPRESSUM,159
305,Blick,159
306,Website,158
307,Internetverbindung,157
308,spiele,157
309,schreiben,157
310,Erfahrung,157
311,Player,157
312,Statistiken,157
313,Land,156
314,Zahlung,156
315,Teilen,155
316,speichern,155
317,einzigartige,155
318,Dateien,155
319,USD,155
320,Business,154
321,meisten,154
322,Bildern,154
323,steht,154
324,FM,153
325,Schritt,153
326,nehmen,153
327,einfachen,153
328,deutschen,153
329,Aktuelle,153
330,sammeln,152
331,Lade,152
332,Liste,152
333,Regeln,151
334,Umgebung,151
335,kaufen,150
336,Spielern,150
337,Hintergrund,150
338,fahren,149
339,ID,149
340,Missionen,149
341,Nutzung,149
342,HRB,148
343,erleben,148
344,verwendet,148
345,neu,148
346,hinzu,148
347,GPS,147
348,Arbeit,147
349,Weise,147
350,Kategorien,147
351,perfekte,147
352,Fan,146
353,Teile,146
354,gefallen,146
355,Nutzungsbedingungen,146
356,richtige,145
357,Grafiken,145
358,halten,145
359,deines,145
360,abonnieren,145
361,Audio,145
362,app,145
363,Erstellen,145
364,Social,144
365,Touch,144
366,Geschichten,144
367,bleiben,144
368,iPod,143
369,Serie,143
370,Spanisch,143
371,Kalender,143
372,kostenloses,142
373,Tiere,142
374,current,141
375,free,141
376,Klondike,140
377,Anzeigen,140
378,Pop,140
379,Notizen,139
380,renewal,139
381,einfaches,139
382,usw,139
383,offiziellen,138
384,wichtigsten,138
385,letzten,137
386,Test,137
387,lustigen,137
388,Umsatzsteuer,136
389,entfernen,136
390,Updates,136
391,richtigen,136
392,Mal,135
393,Bus,135
394,schneller,135
395,Produkte,135
396,Dinge,134
397,Arten,134
398,Multiplayer,134
399,Finger,134
400,Service,134
401,super,134
402,gleichzeitig,134
403,Events,134
404,League,133
405,Namen,133
406,Hand,133
407,Inhalt,133
408,Push,133
409,Beste,133
410,Alltag,133
411,Computer,133
412,Lass,133
413,RStV,133
414,Tutorials,132
415,Zeiten,132
416,Animationen,132
417,Quiz,132
418,Geschwindigkeit,131
419,auto,131
420,Bundesliga,131
421,Reihe,130
422,purchase,130
423,angeboten,130
424,PC,130
425,beliebtesten,130
426,Falls,130
427,Erwachsene,129
428,Laufzeit,129
429,Finden,129
430,Chat,129
431,entdecken,129
432,Bereich,128
433,Technik,128
434,Deutschlands,128
435,bringt,128
436,Lifestyle,128
437,bzw,128
438,komplett,128
439,falls,128
440,Stars,128
441,Einfache,127
442,live,127
443,charged,127
444,bewegen,127
445,Aufgaben,127
446,liebe,127
447,Hinweise,126
448,Minuten,126
449,Angaben,126
450,Sender,126
451,perfekt,125
452,Web,125
453,Entdecke,125
454,erforderlich,124
455,echte,124
456,hours,124
457,schnelle,124
458,Danke,124
459,paar,124
460,machendes,123
461,senden,123
462,Forum,123
463,Gold,123
464,Kindern,122
465,Str,122
466,Freude,122
467,Kostenlos,122
468,Hinweis,122
469,kennen,122
470,Lieblings,121
471,Buchstaben,121
472,coole,121
473,Highlights,121
474,Training,120
475,Abs,120
476,Beauty,120
477,entfernt,120
478,Fitness,119
479,folgen,119
480,Liga,119
481,verfolgen,119
482,KOSTENLOS,119
483,Magazin,119
484,Serien,119
485,end,119
486,informiert,119
487,erwarten,119
488,funktioniert,118
489,egal,118
490,gemeinsam,118
491,Center,118
492,eure,118
493,Kaufs,118
494,Germany,117
495,anzeigen,117
496,angezeigt,117
497,Tippen,117
498,hoffe,117
499,Leidenschaft,116
500,QR,116
501,Frauen,116
502,Stelle,116
503,folgende,116
504,Tom,116
505,zeige,116
506,sowohl,115
507,sozialen,115
508,Mitgliedschaft,115
509,Medien,115
510,Region,115
511,Play,115
512,Essen,115
513,Download,115
514,Nr,114
515,bevor,114
516,treffen,114
517,Hause,114
518,Speichern,114
519,Vielzahl,114
520,Gesundheit,114
521,Film,114
522,deutsche,113
523,Code,113
524,Kunden,113
525,Problem,112
526,PDF,112
527,Amtsgericht,112
528,Folge,112
529,Co,112
530,Ziele,112
531,unten,112
532,lass,112
533,Reisen,112
534,Vlogs,111
535,Editor,111
536,Haus,111
537,Verbindung,111
538,Wahl,111
539,Aufnahmen,111
540,gefunden,110
541,Baby,110
542,user,110
543,Hi,110
544,Europa,110
545,WhatsApp,110
546,verwaltet,109
547,Effekte,109
548,Plus,109
549,Freund,109
550,Schweiz,109
551,Politik,109
552,Benachrichtigungen,109
553,Fahren,109
554,SMS,108
555,Mach,108
556,Rennen,108
557,Stimme,108
558,Star,108
559,Spider,108
560,Action,108
561,finde,108
562,Wirtschaft,108
563,DIY,108
564,fast,108
565,Steine,107
566,Filter,107
567,Tests,106
568,Italienisch,106
569,Plattform,106
570,klassisches,106
571,Option,106
572,einzigartigen,106
573,Booster,106
574,erstellt,105
575,versuche,105
576,Form,105
577,Power,105
578,folgenden,105
579,Platz,105
580,schwer,105
581,Sterne,105
582,Talking,105
583,wichtigen,105
584,Album,104
585,Gratis,104
586,Probleme,104
587,gestellt,104
588,Strategie,104
589,verdienen,104
590,Juwelen,104
591,tollen,104
592,ziehen,103
593,Polizei,103
594,unterhalten,103
595,Favoriten,103
596,USA,103
597,World,103
598,Link,102
599,Personen,102
600,Scanner,102
601,Anleitungen,102
602,videos,102
603,leben,101
604,mehreren,101
605,sagen,101
606,Timer,101
607,Challenges,101
608,vorbei,100
609,Verwenden,100
610,herzlich,100
611,vergessen,99
612,einfacher,99
613,Angebote,99
614,Watch,99
615,Shop,99
616,ebenfalls,99
617,Nacht,99
618,Deutsche,98
619,trainieren,98
620,interessante,98
621,Workouts,98
622,Monate,98
623,verbinden,98
624,Identifikationsnummer,98
625,Sekunden,98
626,Kostenlose,97
627,Eltern,97
628,Inhaltlich,97
629,Testversion,97
630,Antworten,97
631,Nachricht,96
632,brauchen,96
633,Holen,96
634,LKW,96
635,Eure,96
636,aktuell,96
637,Optionen,96
638,WLAN,95
639,Dating,95
640,Start,95
641,Webseite,95
642,Comedy,95
643,Modi,95
644,Waffen,94
645,Homepage,94
646,Schule,94
647,trial,94
648,Interviews,94
649,VIP,94
650,Zug,93
651,Nummer,93
652,Texte,93
653,Verschiedene,93
654,besondere,93
655,Support,93
656,lustiges,93
657,geeignet,93
658,Roboter,93
659,erfahren,93
660,PS,92
661,Deinen,92
662,Bayern,92
663,Zeitung,92
664,Spielmodi,92
665,Kinderlieder,92
666,laufenden,92
667,Profil,92
668,Zukunft,92
669,selber,91
670,bekommst,91
671,arbeiten,91
672,Blog,90
673,starten,90
674,bleibt,90
675,GRATIS,90
676,Standort,90
677,channel,90
678,Betrag,90
679,Downloads,89
680,Fahrer,89
681,Experten,89
682,Erneuerung,89
683,facebook,89
684,Management,89
685,bedienen,89
686,Nutze,89
687,Verwendung,89
688,Herz,88
689,Angebot,88
690,Musikvideos,88
691,Jedes,88
692,teile,88
693,Punktzahl,88
694,Tablets,88
695,Folgen,88
696,beginnen,88
697,Schlager,88
698,speziell,87
699,Wert,87
700,turned,87
701,schaffen,87
702,Laufenden,87
703,Reviews,87
704,verantwortlich,87
705,Klick,86
706,wichtig,86
707,spannenden,86
708,Gruppe,86
709,Tastatur,86
710,Datenschutz,86
711,Portal,86
712,ansehen,86
713,Partner,86
714,Stil,86
715,braucht,86
716,spielt,85
717,Sammle,85
718,Logik,85
719,laden,85
720,Lerne,85
721,Kind,85
722,Ebenen,85
723,Gewinnt,85
724,Fortschritt,85
725,beinhaltet,85
726,Lieder,84
727,Entertainment,84
728,liegt,84
729,Fashion,84
730,Steuerung,84
731,Erlebnis,84
732,Projekte,84
733,kontaktieren,84
734,ultimative,84
735,Aufgabe,83
736,verpasst,83
737,tippen,83
738,Tages,83
739,besteht,83
740,Entdecken,83
741,Kultur,83
742,Erfolge,83
743,Netzwerk,83
744,meistern,83
745,enthalten,82
746,Hindernisse,82
747,einzelnen,82
748,exklusive,82
749,PRO,82
750,ums,82
751,Trainer,82
752,herausfordernde,81
753,Euro,81
754,Objekte,81
755,Euer,81
756,gilt,81
757,Radyo,81
758,Wasser,81
